rank,run,frequency_hz,composite_recognisability,enrichment_factor,coverage_recall,gaussian_contrast,directional_alignment
17,tags_ic_case_a_target_thick_refine_240_270,258.0,0.4629755013146649,1.5346421347327526,0.5362028695362029,1.5749954264741843,0.39945280013675094
18,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v1,200.0,0.4529972042913015,1.667869246432836,0.2802802802802803,1.7230154528336206,0.5547917041947703
19,tags_ic_case_a_target_thick_refine_240_270,260.0,0.4333147645630104,1.4979080987434836,0.4731398064731398,1.5345230354071668,0.44101087730264144
20,pipeline_ic_multifreq_probe_w6_pipeline_ic_full_v1,820.0,0.4298072491943722,1.5409137308366458,0.2739406072739406,1.58191987083646,0.8294699463443262
21,tags_ic_case_a_target_thick,261.0,0.4182254333180368,1.4805558373823975,0.4394394394394394,1.5154556341525565,0.46283339786884903
22,diagonal_dense_sweep,260.0,0.4109024077300544,1.5335130307357268,0.31598264931598263,1.573749262670301,0.5439096459619484
23,pipeline_w7_multi_proper_w7_multifreq_ic_v2_diverse,506.545,0.4049463815358876,1.4481958630421112,0.2645979312645979,1.479983499119527,0.9903339472326769
24,tags_ic_case_a_target_thick_refine_240_270,262.0,0.4040745724173961,1.4638068638151056,0.4084084084084084,1.4970819338720627,0.4843228941268223
25,pipeline_ic_full_w6_pipeline_ic_full_v1,636.547,0.4037621465054174,1.3514103183004067,0.41307974641307976,1.3745584376549818,0.957522229733406
26,pipeline_ic_multifreq_probe_w6_pipeline_ic_full_v1,636.547,0.4037621465054174,1.3514103183004067,0.41307974641307976,1.3745584376549818,0.957522229733406
27,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v1,640.0,0.39146935138043076,1.5679158272591645,0.347681014347681,1.611781501823765,0.11798133494556819
28,pipeline_w7_multi_proper_w7_multifreq_ic_v2_diverse,815.659,0.38535345828395934,1.3975094460961868,0.27427427427427425,1.4246482206232458,0.9840951777439105
29,tags_ic_case_a_target_thick,266.0,0.38468079674821176,1.4012301035687205,0.32732732732732733,1.4287008422228775,0.8018929417385021
