rank,run,frequency_hz,composite_recognisability,enrichment_factor,coverage_recall,gaussian_contrast,directional_alignment
89,tags_ic_case_a_target_thick,311.0,0.12085845174213342,1.063520545104634,0.12995049504950495,1.0670365163249882,0.4426239466505932
90,tags_ic_case_a_target_thick,316.0,0.11786361039114529,1.0501890245422913,0.08292079207920793,1.052930470145934,0.6308386408687685
91,diagonal_dense_sweep,300.0,0.11538191661882477,0.9915393861635623,0.1967821782178218,0.991104262445067,0.5634726315347824
92,pipeline_diagonal_v1_w4_pipeline_diagonal_v1,300.0,0.11538191661882477,0.9915393861635623,0.1967821782178218,0.991104262445067,0.5634726315347824
93,pipeline_w7_multi_proper_w7_multifreq_ic_v2_diverse,286.154,0.10367039796118038,0.9278572286874429,0.024752475247524754,0.9243977626130356,0.9624465538692294
94,tags_ic_case_a_target_thick,321.0,0.10306669895776542,1.0394288152597468,0.05198019801980198,1.0415592908992997,0.6386031938475334
95,tags_ic_case_a_target_thick,336.0,0.10011449508824705,0.9645649521027553,0.001547029702970297,0.9627952155674425,0.9965038617735595
96,diagonal_dense_sweep,680.0,0.09556125146213125,0.9614734002099375,0.2370049504950495,0.9595556925288411,0.244597663136164
97,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v1,400.0,0.09336797023174306,0.9649180015599551,0.17388613861386137,0.9631652323607741,0.41202128647584657
98,tags_ic_case_a_target_thick,341.0,0.09258294941845185,0.9867777665767893,0.0024752475247524753,0.9861012978692882,0.918403751610261
99,tags_ic_case_a_target_thick,346.0,0.08736388143164561,0.975815941916086,0.0034034653465346535,0.9745932758919398,0.8634284182768521
100,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v1,860.0,0.08163923153980027,0.8722233990048166,0.18347772277227722,0.8664800457553525,0.265959147081171
101,tags_ic_case_a_target_thick,326.0,0.07924749525027712,1.029806053331353,0.01051980198019802,1.0314008271093262,0.5815977903368531
102,diagonal_dense_sweep,340.0,0.07917527341588304,0.9181866524851175,0.1828589108910891,0.914306203593908,0.24317600148556306
103,tags_ic_case_a_target_thick,331.0,0.05378730592218631,1.022844125199614,0.001547029702970297,1.0240576870702014,0.39533782968844444
104,pipeline_w7_ic_v1_comsol_w7_multifreq_ic_v1,676.77,0.04253885388514875,0.9698307837112031,0.14139851485148514,0.9683154294360911,0.0011929942970320684
105,diagonal_dense_sweep,100.0,0.04174708166817001,0.8691877651041221,0.12314356435643564,0.8633293271187289,0.04804012361239318
